ID,Municipio
19001,Abasolo
19002,Agualeguas
19003,Los Aldamas
19004,Allende
19005,Anahuac
19006,Apodaca
19007,Aramberri
19008,Bustamante
19009,Cadereyta Jimenez
19010,El Carmen
19011,Cerralvo
19012,Cienega de Flores
19013,China
19014,Dr. Arroyo
19015,Dr. Coss
19016,Dr. Gonzalez
19017,Galeana
19018,Garcia
19019,San Pedro Garza Garcia
19020,Gral. Bravo
19021,Gral. Escobedo
19022,Gral. Teran
19023,Gral. Trevino
19024,Gral. Zaragoza
19025,Gral. Zuazua
19026,Guadalupe
19027,Los Herreras
19047,Hidalgo
19028,Higueras
19029,Hualahuises
19030,Iturbide
19031,Juarez
19032,Lampazos de Naranjo
19033,Linares
19034,Marin
19035,Melchor Ocampo
19036,Mier y Noriega
19037,Mina
19038,Montemorelos
19039,Monterrey
19040,Paras
19041,Pesqueria
19042,Los Ramones
19043,Rayones
19044,Sabinas Hidalgo
19045,Salinas Victoria
19046,San Nicolas de los Garza
19048,Santa Catarina
19049,Santiago
19050,Vallecillo
19051,Villaldama
